Designator,Mid X,Mid Y,Rotation,Layer
D1,157.48,-61.15,90.0,bottom
D10,81.28,-80.2,90.0,bottom
D11,157.48,-99.25,90.0,bottom
D12,138.43,-94.4875,90.0,bottom
D13,119.38,-89.725,90.0,bottom
D14,100.33,-94.4875,90.0,bottom
D15,81.28,-99.25,90.0,bottom
D16,176.53,-80.2,90.0,bottom
D17,176.53,-99.25,90.0,bottom
D18,109.855,-115.91875,90.0,bottom
D19,89.913123,-121.537053,80.0,bottom
D2,138.43,-56.3875,90.0,bottom
D20,70.133405,-127.297228,70.0,bottom
D3,119.38,-51.625,90.0,bottom
D4,100.33,-56.3875,90.0,bottom
D5,81.28,-61.15,90.0,bottom
D6,157.48,-80.2,90.0,bottom
D7,138.43,-75.4375,90.0,bottom
D8,119.38,-70.675,90.0,bottom
D9,100.33,-75.4375,90.0,bottom
J1,49.499748,-88.5,270.0,top
SW1,152.4,-57.15,0.0,top
SW10,76.2,-76.2,0.0,top
SW11,152.4,-95.25,0.0,top
SW12,133.35,-90.4875,0.0,top
SW13,114.3,-85.725,0.0,top
SW14,95.25,-90.4875,0.0,top
SW15,76.2,-95.25,0.0,top
SW16,171.45,-76.2,0.0,top
SW17,171.45,-95.25,0.0,top
SW18,104.775,-111.91875,0.0,top
SW19,84.215707,-118.479955,10.0,top
SW2,133.35,-52.3875,0.0,top
SW20,63.991686,-125.27592,20.0,top
SW3,114.3,-47.625,0.0,top
SW4,95.25,-52.3875,0.0,top
SW5,76.2,-57.15,0.0,top
SW6,152.4,-76.2,0.0,top
SW7,133.35,-71.4375,0.0,top
SW8,114.3,-66.675,0.0,top
SW9,95.25,-71.4375,0.0,top
U1,51.917748,-47.349,0.0,top
